id,code,name,user_type_id/id,chart_template_id:id,reconcile
111001_account_Muhlhel,111001G0,Lands,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
111002_account_Muhlhel,111002G0,Buildings and constructions,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
112001_account_Muhlhel,112001G0,Small Cars,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
112002_account_Muhlhel,112002G0,Transportation Cars,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113001_account_Muhlhel,113001G0,Furnitures,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113002_account_Muhlhel,113002G0,Equipment and Tools,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113003_account_Muhlhel,113003G0,Electrical and Electronic Devices,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113004_account_Muhlhel,113004G0,Communication Devices and Computers,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114001_account_Muhlhel,114001G0,Complex Buildings and Constructions Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114002_account_Muhlhel,114002G0,Complex Depreciation Small Car,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114003_account_Muhlhel,114003G0,Complex Depreciation of Transport Vehicles,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114004_account_Muhlhel,114004G0,Complex Depreciation of Furniture and Furnishings,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114005_account_Muhlhel,114005G0,Complex Depreciation of Equipment and Tools,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114006_account_Muhlhel,114006G0,Complex Depreciation of Electrical and Electronic Devices,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114007_account_Muhlhel,114007G0,Complex Depreciation Of Communication Devices And Computers,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115001_account_Muhlhel,115001G0,Famous brand,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
